start time, request type, latency, response code
2023-02-04 17:01:06, POST, 140, 200, 
2023-02-04 17:01:06, POST, 140, 200, 
2023-02-04 17:01:06, POST, 141, 200, 
2023-02-04 17:01:06, POST, 135, 200, 
2023-02-04 17:01:06, POST, 135, 200, 
2023-02-04 17:01:06, POST, 135, 200, 
2023-02-04 17:01:06, POST, 134, 200, 
2023-02-04 17:01:06, POST, 135, 200, 
2023-02-04 17:01:06, POST, 135, 200, 
2023-02-04 17:01:06, POST, 135, 200, 
2023-02-04 17:01:06, POST, 134, 200, 
2023-02-04 17:01:06, POST, 135, 200, 
2023-02-04 17:01:06, POST, 135, 200, 
2023-02-04 17:01:06, POST, 135, 200, 
2023-02-04 17:01:06, POST, 134, 200, 
2023-02-04 17:01:06, POST, 135, 200, 
2023-02-04 17:01:06, POST, 135, 200, 
2023-02-04 17:01:06, POST, 134, 200, 
2023-02-04 17:01:06, POST, 135, 200, 
2023-02-04 17:01:06, POST, 134, 200, 
2023-02-04 17:01:06, POST, 135, 200, 
2023-02-04 17:01:06, POST, 135, 200, 
2023-02-04 17:01:06, POST, 134, 200, 
2023-02-04 17:01:06, POST, 133, 200, 
2023-02-04 17:01:06, POST, 135, 200, 
2023-02-04 17:01:06, POST, 133, 200, 
2023-02-04 17:01:06, POST, 133, 200, 
2023-02-04 17:01:06, POST, 134, 200, 
2023-02-04 17:01:06, POST, 134, 200, 
2023-02-04 17:01:06, POST, 144, 200, 
2023-02-04 17:01:06, POST, 142, 200, 
2023-02-04 17:01:06, POST, 144, 200, 
2023-02-04 17:01:06, POST, 144, 200, 
2023-02-04 17:01:06, POST, 143, 200, 
2023-02-04 17:01:06, POST, 143, 200, 
2023-02-04 17:01:06, POST, 143, 200, 
2023-02-04 17:01:06, POST, 143, 200, 
2023-02-04 17:01:06, POST, 143, 200, 
2023-02-04 17:01:06, POST, 143, 200, 
2023-02-04 17:01:06, POST, 142, 200, 
2023-02-04 17:01:06, POST, 143, 200, 
2023-02-04 17:01:06, POST, 144, 200, 
2023-02-04 17:01:06, POST, 144, 200, 
2023-02-04 17:01:06, POST, 144, 200, 
2023-02-04 17:01:06, POST, 148, 200, 
2023-02-04 17:01:06, POST, 149, 200, 
2023-02-04 17:01:06, POST, 149, 200, 
2023-02-04 17:01:06, POST, 148, 200, 
2023-02-04 17:01:06, POST, 148, 200, 
2023-02-04 17:01:06, POST, 149, 200, 
2023-02-04 17:01:06, POST, 144, 200, 
2023-02-04 17:01:06, POST, 148, 200, 
2023-02-04 17:01:06, POST, 148, 200, 
2023-02-04 17:01:06, POST, 148, 200, 
2023-02-04 17:01:06, POST, 149, 200, 
2023-02-04 17:01:06, POST, 178, 200, 
2023-02-04 17:01:06, POST, 39, 200, 
2023-02-04 17:01:06, POST, 40, 200, 
2023-02-04 17:01:06, POST, 44, 200, 
2023-02-04 17:01:06, POST, 43, 200, 
2023-02-04 17:01:06, POST, 43, 200, 
2023-02-04 17:01:06, POST, 44, 200, 
2023-02-04 17:01:06, POST, 44, 200, 
2023-02-04 17:01:06, POST, 44, 200, 
2023-02-04 17:01:06, POST, 163, 200, 
2023-02-04 17:01:06, POST, 163, 200, 
2023-02-04 17:01:06, POST, 163, 200, 
2023-02-04 17:01:06, POST, 162, 200, 
2023-02-04 17:01:06, POST, 46, 200, 
2023-02-04 17:01:06, POST, 45, 200, 
2023-02-04 17:01:06, POST, 165, 200, 
2023-02-04 17:01:06, POST, 45, 200, 
2023-02-04 17:01:06, POST, 45, 200, 
2023-02-04 17:01:06, POST, 164, 200, 
2023-02-04 17:01:06, POST, 164, 200, 
2023-02-04 17:01:06, POST, 164, 200, 
2023-02-04 17:01:06, POST, 164, 200, 
2023-02-04 17:01:06, POST, 46, 200, 
2023-02-04 17:01:06, POST, 172, 200, 
2023-02-04 17:01:06, POST, 172, 200, 
2023-02-04 17:01:06, POST, 174, 200, 
2023-02-04 17:01:06, POST, 54, 200, 
2023-02-04 17:01:06, POST, 173, 200, 
2023-02-04 17:01:06, POST, 54, 200, 
2023-02-04 17:01:06, POST, 54, 200, 
2023-02-04 17:01:06, POST, 53, 200, 
2023-02-04 17:01:06, POST, 53, 200, 
2023-02-04 17:01:06, POST, 53, 200, 
2023-02-04 17:01:06, POST, 54, 200, 
2023-02-04 17:01:06, POST, 54, 200, 
2023-02-04 17:01:06, POST, 54, 200, 
2023-02-04 17:01:06, POST, 54, 200, 
2023-02-04 17:01:06, POST, 54, 200, 
2023-02-04 17:01:06, POST, 55, 200, 
2023-02-04 17:01:06, POST, 57, 200, 
2023-02-04 17:01:06, POST, 58, 200, 
2023-02-04 17:01:06, POST, 56, 200, 
2023-02-04 17:01:06, POST, 57, 200, 
2023-02-04 17:01:06, POST, 57, 200, 
2023-02-04 17:01:06, POST, 57, 200, 
2023-02-04 17:01:06, POST, 57, 200, 
2023-02-04 17:01:06, POST, 56, 200, 
2023-02-04 17:01:06, POST, 58, 200, 
2023-02-04 17:01:06, POST, 57, 200, 
2023-02-04 17:01:06, POST, 57, 200, 
2023-02-04 17:01:06, POST, 57, 200, 
2023-02-04 17:01:06, POST, 57, 200, 
2023-02-04 17:01:06, POST, 56, 200, 
2023-02-04 17:01:06, POST, 57, 200, 
2023-02-04 17:01:06, POST, 57, 200, 
2023-02-04 17:01:06, POST, 57, 200, 
2023-02-04 17:01:06, POST, 57, 200, 
2023-02-04 17:01:06, POST, 56, 200, 
2023-02-04 17:01:06, POST, 56, 200, 
2023-02-04 17:01:06, POST, 57, 200, 
2023-02-04 17:01:06, POST, 58, 200, 
2023-02-04 17:01:06, POST, 57, 200, 
